,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,BUILDING CLASS AT PRESENT,ADDRESS,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,"SALE
PRICE",SALE DATE,lnprice
5772,HARLEM-CENTRAL,07  RENTALS - WALKUP APARTMENTS,2,1831,43,C7, 220 WEST 116 STREET                       ,10026,35,6,41,10647,46080,1910,2, C7 ,8800000,2012-08-11,15.9902622794
5773,HARLEM-CENTRAL,07  RENTALS - WALKUP APARTMENTS,2A,1831,121,C2, 213 WEST 115TH STREET                     ,10026,6,0,6,2018,6750,1900,2, C2 ,12000000,2012-12-26,16.3004172078
5776,HARLEM-CENTRAL,07  RENTALS - WALKUP APARTMENTS,2B,1905,18,C5, 125 W 120TH                               ,10027,9,0,9,2018,3714,1920,2, C5 ,215000,2012-12-21,12.2783933071
5779,HARLEM-CENTRAL,07  RENTALS - WALKUP APARTMENTS,2,1907,61,C7, 170 WEST 123RD STREET                     ,10027,13,2,15,3850,20145,1910,2, C7 ,3500000,2012-08-27,15.0682735265
5780,HARLEM-CENTRAL,07  RENTALS - WALKUP APARTMENTS,2A,1908,119,C3, 125 WEST 123RD STREET                     ,10027,4,0,4,1514,2250,1910,2, C3 ,1315000,2013-06-21,14.0893472236
5781,HARLEM-CENTRAL,07  RENTALS - WALKUP APARTMENTS,2B,1911,42,C5, 120 WEST 127 STREET                       ,10027,9,0,9,1665,2697,1910,2, C5 ,590000,2013-03-25,13.2878778159
5782,HARLEM-CENTRAL,07  RENTALS - WALKUP APARTMENTS,2B,1911,141,C5, 118 WEST 127 STREET                       ,10027,10,0,10,1665,3896,1910,2, C5 ,635000,2012-03-08,13.3613802779
5783,HARLEM-CENTRAL,07  RENTALS - WALKUP APARTMENTS,2,1914,43,C5, 122 WEST 130 STREET                       ,10027,12,0,12,2498,3305,1910,2, C5 ,1278000,2012-11-10,14.0608069139
5784,HARLEM-CENTRAL,07  RENTALS - WALKUP APARTMENTS,2B,1915,59,C4, 156 WEST 131ST STREET                     ,10027,10,0,10,2498,11190,1920,2, C4 ,8325426,2013-04-18,15.9348247637
5787,HARLEM-CENTRAL,07  RENTALS - WALKUP APARTMENTS,2B,1916,30,C7, 423 LENOX AVENUE                          ,10037,9,1,10,1875,7395,1910,2, C7 ,5250000,2013-07-29,15.4737386346
5789,HARLEM-CENTRAL,07  RENTALS - WALKUP APARTMENTS,2,1916,144,C5, 124 WEST 132ND STREET                     ,10027,11,0,11,1665,2499,1910,2, C5 ,690000,2013-04-22,13.4444468766
5790,HARLEM-CENTRAL,07  RENTALS - WALKUP APARTMENTS,2,1917,14,C5, 145 WEST 132 STREET                       ,10027,11,0,11,1873,2814,1910,2, C5 ,1875000,2013-07-18,14.4441192174
5794,HARLEM-CENTRAL,07  RENTALS - WALKUP APARTMENTS,2B,1918,1,C7, 2261 SEVENTH AVENUE                       ,10030,8,2,10,1869,8845,1910,2, C7 ,6750000,2012-08-14,15.7250530628
5798,HARLEM-CENTRAL,07  RENTALS - WALKUP APARTMENTS,2,1921,18,C5, 133 WEST 136 STREET                       ,10030,11,0,11,1649,3438,1910,2, C5 ,730000,2013-10-07,13.5007998131
5799,HARLEM-CENTRAL,07  RENTALS - WALKUP APARTMENTS,2,1921,44,C4, 118-20 WEST 137TH STREET                  ,10030,20,0,20,4163,15895,1910,2, C4 ,3050000,2012-08-22,14.9306521486
5800,HARLEM-CENTRAL,07  RENTALS - WALKUP APARTMENTS,2B,1924,3,C7, 2194 8TH AVE                              ,10026,8,2,10,2000,7715,1910,2, C7 ,3050000,2013-02-05,14.9306521486
5801,HARLEM-CENTRAL,07  RENTALS - WALKUP APARTMENTS,2B,1927,4,C7, 2264 FREDERICK DOUGLASS B                 ,10027,9,1,10,2500,8750,1910,2, C7 ,2525000,2012-10-18,14.7417516207
5803,HARLEM-CENTRAL,07  RENTALS - WALKUP APARTMENTS,2,1927,110,C5, 255 WEST 121 STREET                       ,10027,11,0,11,1716,2652,1910,2, C5 ,800000,2013-04-18,13.5923670067
5805,HARLEM-CENTRAL,07  RENTALS - WALKUP APARTMENTS,2A,1929,13,C5, 243 WEST 123RD STREET                     ,10027,5,0,5,1682,2499,1910,2, C5 ,800000,2012-02-10,13.5923670067
5806,HARLEM-CENTRAL,07  RENTALS - WALKUP APARTMENTS,2,1929,14,C5, 239 WEST 123RD STREET                     ,10027,11,0,11,1682,2499,1910,2, C5 ,750000,2013-05-22,13.5278284855
5807,HARLEM-CENTRAL,07  RENTALS - WALKUP APARTMENTS,2,1929,25,C5, 211 WEST 123 STREET                       ,10027,11,0,11,1573,2337,1910,2, C5 ,804000,2012-09-23,13.5973545482
5810,HARLEM-CENTRAL,07  RENTALS - WALKUP APARTMENTS,2,1937,12,C5, 249 WEST 131 STREET                       ,10027,11,0,11,1699,2652,1910,2, C5 ,600000,2012-11-19,13.3046849342
5812,HARLEM-CENTRAL,07  RENTALS - WALKUP APARTMENTS,2,1937,123,C5, 213 WEST 131 STREET                       ,10027,11,0,11,1665,2534,1914,2, C5 ,859000,2013-02-04,13.663524201
5813,HARLEM-CENTRAL,07  RENTALS - WALKUP APARTMENTS,2B,1938,11,C5, 263 WEST 132 STREET                       ,10027,10,0,10,1399,2100,1910,2, C5 ,112320,2012-11-14,11.6291072193
5814,HARLEM-CENTRAL,07  RENTALS - WALKUP APARTMENTS,2B,1938,31,C7, 2248 7TH AVENUE                           ,10027,8,1,9,2500,9400,1910,2, C7 ,1650000,2013-03-20,14.3162858459
5815,HARLEM-CENTRAL,07  RENTALS - WALKUP APARTMENTS,2,1938,44,C1, 210 WEST 133RD STREET                     ,10030,17,0,17,4197,12800,1930,2, C1 ,2825000,2013-06-19,14.8540189226
5819,HARLEM-CENTRAL,07  RENTALS - WALKUP APARTMENTS,2B,1939,33,C7, 2270 ADAM C POWELL BLVD                   ,10030,8,1,9,1600,6355,1910,2, C7 ,1190000,2012-02-11,13.9894638651
5821,HARLEM-CENTRAL,07  RENTALS - WALKUP APARTMENTS,2,1940,114,C5, 245 WEST 134TH STREET                     ,10030,11,0,11,1499,2025,1910,2, C5 ,50000,2013-02-21,10.8197782844
5823,HARLEM-CENTRAL,07  RENTALS - WALKUP APARTMENTS,2B,1941,6,C4, 245 WEST 135TH                            ,10030,9,0,9,2498,9410,1910,2, C4 ,2700000,2013-04-30,14.808762331
5824,HARLEM-CENTRAL,07  RENTALS - WALKUP APARTMENTS,2B,1941,60,C1, 268 WEST 136TH STREET                     ,10030,8,0,8,1665,5084,1910,2, C1 ,1175000,2012-08-27,13.9767787056
5826,HARLEM-CENTRAL,07  RENTALS - WALKUP APARTMENTS,2B,1942,29,C7, 201 WEST 136TH                            ,10030,9,1,10,3242,14355,1910,2, C7 ,2000000,2012-04-12,14.5086577385
5828,HARLEM-CENTRAL,07  RENTALS - WALKUP APARTMENTS,2A,1942,53,C2, 246 WEST 137 STREET                       ,10030,6,0,6,1799,4213,1910,2, C2 ,980000,2012-12-17,13.7953078506
5829,HARLEM-CENTRAL,07  RENTALS - WALKUP APARTMENTS,2,1943,19,C4, 386 MANHATTAN AVENUE                      ,10026,20,0,20,2972,10005,1900,2, C4 ,3625000,2013-06-03,15.1033648463
5830,HARLEM-CENTRAL,07  RENTALS - WALKUP APARTMENTS,2A,1947,7,C2, 363 WEST 120 STREET                       ,10027,6,0,6,1716,2398,1901,2, C2 ,2700000,2013-07-31,14.808762331
5832,HARLEM-CENTRAL,07  RENTALS - WALKUP APARTMENTS,2B,1950,6,C5, 361 WEST 123 STREET                       ,10027,8,0,8,1598,3331,1901,2, C5 ,600000,2013-04-26,13.3046849342
5834,HARLEM-CENTRAL,07  RENTALS - WALKUP APARTMENTS,2,1954,11,C4, 400 WEST 128 STREET                       ,10027,56,0,56,12490,46965,1926,2, C4 ,4114189,2012-08-30,15.2299522888
5835,HARLEM-CENTRAL,07  RENTALS - WALKUP APARTMENTS,2B,1954,43,C4, 348 ST NICHOLAS AVENUE                    ,10027,10,0,10,2400,8380,1910,2, C4 ,1125000,2012-12-31,13.9332935936
5837,HARLEM-CENTRAL,07  RENTALS - WALKUP APARTMENTS,2B,1958,20,C7, 2455 8TH AVENUE                           ,10027,7,1,8,2525,8460,1901,2, C7 ,1650000,2013-03-20,14.3162858459
5840,HARLEM-CENTRAL,07  RENTALS - WALKUP APARTMENTS,2,1958,56,C4, 428 ST NICHOLAS AVENUE                    ,10027,11,0,11,3188,9710,1901,2, C4 ,2840046,2013-06-17,14.8593308072
5841,HARLEM-CENTRAL,07  RENTALS - WALKUP APARTMENTS,2B,1960,31,C5, 30 EDGECOMBE AVENUE                       ,10030,7,0,7,1575,3852,1901,2, C5 ,800000,2013-01-24,13.5923670067
5842,HARLEM-CENTRAL,07  RENTALS - WALKUP APARTMENTS,2,2007,1,C7, 145 WEST 138 STREET                       ,10030,13,1,14,2500,11382,1915,2, C7 ,2750000,2013-08-07,14.8271114696
5843,HARLEM-CENTRAL,07  RENTALS - WALKUP APARTMENTS,2B,2009,52,C4, 160 WEST 141 STREET                       ,10030,10,0,10,2781,10705,1910,2, C4 ,1370000,2012-09-14,14.1303212978
5844,HARLEM-CENTRAL,07  RENTALS - WALKUP APARTMENTS,2,2014,14,C1, 145 WEST 145 STREET                       ,10039,30,0,30,4371,18024,1926,2, C1 ,13460000,2013-02-28,16.4152328822
5847,HARLEM-CENTRAL,07  RENTALS - WALKUP APARTMENTS,2A,2023,40,C2, 208 WEST 138TH STREET                     ,10030,5,0,5,2198,3956,1910,2, C2 ,990000,2013-03-28,13.8054602221
5848,HARLEM-CENTRAL,07  RENTALS - WALKUP APARTMENTS,2A,2024,26,C3, 209 WEST 138 STREET                       ,10030,4,0,4,1699,2724,1910,2, C3 ,750000,2012-08-16,13.5278284855
5849,HARLEM-CENTRAL,07  RENTALS - WALKUP APARTMENTS,2B,2025,24,C5, 213 WEST 139 STREET                       ,10030,8,0,8,1915,4187,1920,2, C5 ,950000,2013-01-24,13.7642172636
5850,HARLEM-CENTRAL,07  RENTALS - WALKUP APARTMENTS,2,2030,27,C7, 203 WEST 144TH STREET                     ,10030,28,2,30,4996,21678,1921,2, C7 ,5000000,2013-07-26,15.4249484704
5851,HARLEM-CENTRAL,07  RENTALS - WALKUP APARTMENTS,2,2033,11,C1, 283 WEST 147TH STREET                     ,10039,23,0,23,2498,10788,1920,2, C1 ,3000000,2013-06-26,14.9141228466
5853,HARLEM-CENTRAL,07  RENTALS - WALKUP APARTMENTS,2,2036,10,C1, 287 WEST 150 STREET                       ,10039,20,0,20,4080,14554,1920,2, C1 ,1235960,2013-06-28,14.027358554
5854,HARLEM-CENTRAL,07  RENTALS - WALKUP APARTMENTS,2,2036,19,C1, 277 WEST 150 STREET                       ,10039,20,0,20,4080,14554,1920,2, C1 ,1575000,2012-08-30,14.2697658302
5855,HARLEM-CENTRAL,07  RENTALS - WALKUP APARTMENTS,2,2038,7,C1, 259 WEST 152 STREET                       ,10039,24,0,24,5000,20772,1920,2, C1 ,3268844,2013-06-27,14.9999469636
5858,HARLEM-CENTRAL,07  RENTALS - WALKUP APARTMENTS,2A,2041,29,C3, 64 EDGECOMBE AVENUE                       ,10030,4,0,4,1224,3744,1901,2, C3 ,1050000,2012-10-17,13.8643007221
5859,HARLEM-CENTRAL,07  RENTALS - WALKUP APARTMENTS,2B,2041,131,C1, 62 EDGECOMBE AVENUE                       ,10030,7,0,7,1224,5839,1901,2, C1 ,650000,2013-01-24,13.3847276419
5861,HARLEM-CENTRAL,07  RENTALS - WALKUP APARTMENTS,2A,2042,5,C5, 321 WEST 139 STREET                       ,10030,6,0,6,1699,3460,1910,2, C5 ,600000,2012-11-29,13.3046849342
5862,HARLEM-CENTRAL,07  RENTALS - WALKUP APARTMENTS,2A,2042,5,C5, 321 WEST 139 STREET                       ,10030,6,0,6,1699,3460,1910,2, C5 ,400000,2012-12-09,12.8992198261
5864,HARLEM-CENTRAL,07  RENTALS - WALKUP APARTMENTS,2,2043,22,C4, 312 WEST 142ND STREET                     ,10030,15,0,15,2498,9455,1910,2, C4 ,1537500,2013-07-03,14.2456682787
5865,HARLEM-CENTRAL,07  RENTALS - WALKUP APARTMENTS,2,2046,18,C4, 304 WEST 151ST STREET                     ,10039,25,0,25,3997,16158,1910,2, C4 ,2750000,2012-10-16,14.8271114696
5867,HARLEM-CENTRAL,07  RENTALS - WALKUP APARTMENTS,2,2047,31,C4, 2915 FREDRICK DOUGLASS BL                 ,10039,19,0,19,2500,9590,1910,2, C4 ,1120000,2013-04-22,13.9288392433
5869,HARLEM-CENTRAL,07  RENTALS - WALKUP APARTMENTS,2A,2048,46,C4, 606 ST NICHOLAS AVENUE                    ,10030,5,0,5,1584,5915,1910,2, C4 ,2089000,2012-11-20,14.5521960405
5870,HARLEM-CENTRAL,07  RENTALS - WALKUP APARTMENTS,2A,2050,50,C2, 408 WEST 145 STREET                       ,10031,5,0,5,1549,3608,1910,2, C2 ,600000,2012-08-22,13.3046849342
5871,HARLEM-CENTRAL,07  RENTALS - WALKUP APARTMENTS,2A,2050,51,C2, 404 W 145 STREET                          ,10031,5,0,5,1549,3600,1910,2, C2 ,1648400,2013-04-23,14.3153156784
5873,HARLEM-CENTRAL,07  RENTALS - WALKUP APARTMENTS,2A,2051,71,C3, 205 EDGECOMBE AVENUE                      ,10030,4,0,4,1667,2502,1901,2, C3 ,769000,2013-01-30,13.5528462485
5874,HARLEM-CENTRAL,07  RENTALS - WALKUP APARTMENTS,2B,2051,137,C5, 47 BRADHURST AVENUE                       ,10030,10,0,10,1512,2313,1901,2, C5 ,895000,2013-06-28,13.7045789973
5875,HARLEM-CENTRAL,07  RENTALS - WALKUP APARTMENTS,2,2054,30,C1, 28 ST NICHOLAS PLACE                      ,10031,23,0,23,3750,12570,1920,2, C1 ,9480000,2013-02-28,16.0646948742
5878,HARLEM-CENTRAL,07  RENTALS - WALKUP APARTMENTS,2,2054,56,C1, 401 EDGECOMBE AVENUE                      ,10031,66,0,66,15000,53815,1920,2, C1 ,376788,2013-01-01,12.839437974
5879,HARLEM-CENTRAL,07  RENTALS - WALKUP APARTMENTS,2,2054,56,C1, 401 EDGECOMBE AVENUE                      ,10031,66,0,66,15000,53815,1920,2, C1 ,467940,2013-01-01,13.0560953616
5880,HARLEM-CENTRAL,07  RENTALS - WALKUP APARTMENTS,2,2054,79,C1, 76-78 ST NICHOLAS PLACE                   ,10032,31,0,31,7500,26155,1920,2, C1 ,3500000,2013-06-25,15.0682735265
5882,HARLEM-CENTRAL,08  RENTALS - ELEVATOR APARTMENTS,2,1723,23,D7, 17 WEST 125TH STREET                      ,10027,48,8,56,11491,46200,1900,2, D7 ,13600000,2013-02-07,16.4255803507
5885,HARLEM-CENTRAL,08  RENTALS - ELEVATOR APARTMENTS,2B,1825,139,D6, 108 WEST 116TH STREET                     ,10026,8,1,9,2018,9240,1900,2, D6 ,1915000,2012-09-10,14.4652281806
5886,HARLEM-CENTRAL,08  RENTALS - ELEVATOR APARTMENTS,2,1826,8,D1, 235 CENTRAL PARK NORTH                    ,10026,91,0,91,21479,86124,1915,2, D1 ,27500000,2013-07-02,17.1296965626
5887,HARLEM-CENTRAL,08  RENTALS - ELEVATOR APARTMENTS,2,1913,61,D7, 2167 ADAM C POWELL BLVD                   ,10027,55,5,60,7500,35292,1910,2, D7 ,7150000,2012-11-10,15.7826229147
5889,HARLEM-CENTRAL,08  RENTALS - ELEVATOR APARTMENTS,2B,1924,2,D1, 2192 FREDRICK DOUGLASS BL                 ,10026,8,0,8,2000,14031,1910,2, D1 ,3700000,2013-05-22,15.1238433776
5890,HARLEM-CENTRAL,08  RENTALS - ELEVATOR APARTMENTS,2,1927,1,D7, 220 ST. NICHOLAS AVENUE                   ,10027,11,2,13,1976,26403,2008,2, D7 ,1030250,2012-12-19,13.8453120492
5891,HARLEM-CENTRAL,08  RENTALS - ELEVATOR APARTMENTS,2,1949,1,D1, 92 MORNINGSIDE AVENUE                     ,10027,48,0,48,10092,66824,1901,2, D1 ,18000000,2013-04-24,16.7058823159
5892,HARLEM-CENTRAL,08  RENTALS - ELEVATOR APARTMENTS,2,1951,14,D7, 281 ST NICHOLAS AVENUE                    ,10027,32,6,38,11100,50706,1921,2, D7 ,7900000,2012-12-19,15.8823733174
5894,HARLEM-CENTRAL,08  RENTALS - ELEVATOR APARTMENTS,2,2007,2,D7, 2363 ADAM C POWELL BLVD                   ,10030,46,5,51,9983,38011,1920,2, D7 ,8200000,2012-11-29,15.9196447122
5895,HARLEM-CENTRAL,08  RENTALS - ELEVATOR APARTMENTS,2,2010,6,D1, 137 WEST 141 STREET                       ,10030,48,0,48,12490,52290,1910,2, D1 ,6766666,2013-07-16,15.7275190568
5896,HARLEM-CENTRAL,08  RENTALS - ELEVATOR APARTMENTS,2,2010,11,D1, 127 WEST 141 STREET                       ,10030,48,0,48,12490,52290,1910,2, D1 ,6766666,2013-07-16,15.7275190568
5897,HARLEM-CENTRAL,08  RENTALS - ELEVATOR APARTMENTS,2,2010,18,D1, 117 WEST 141 STREET                       ,10030,48,0,48,12490,52290,1910,2, D1 ,6766666,2013-07-16,15.7275190568
5900,HARLEM-CENTRAL,08  RENTALS - ELEVATOR APARTMENTS,2,2048,21,D7, 580 ST NICHOLAS AVENUE                    ,10030,92,1,93,12295,60078,1914,2, D7 ,12500000,2013-08-07,16.3412392023
5901,HARLEM-CENTRAL,08  RENTALS - ELEVATOR APARTMENTS,2,2051,31,D1, 656 ST NICHOLAS AVENUE                    ,10030,30,0,30,5000,20640,1920,2, D1 ,4400000,2012-12-27,15.2971150989
5902,HARLEM-CENTRAL,08  RENTALS - ELEVATOR APARTMENTS,2,2053,20,D1, 287 EDGECOMBE AVENUE                      ,10031,24,0,24,6510,27870,1920,2, D1 ,1595298,2012-08-30,14.2825711106
5903,HARLEM-CENTRAL,08  RENTALS - ELEVATOR APARTMENTS,2,2053,24,D1, 291 EDGECOMBE AVENUE                      ,10031,31,0,31,6483,27306,1920,2, D1 ,2854743,2012-08-30,14.8644923795
5904,HARLEM-CENTRAL,08  RENTALS - ELEVATOR APARTMENTS,2,2054,82,D1, 66-74 ST NICHOLAS PLACE                   ,10032,85,0,85,15000,63132,1920,2, D1 ,10250000,2013-06-25,16.1427882635
5984,HARLEM-CENTRAL,11A CONDO-RENTALS,2,1600,1101,RR, 24 WEST 117 STREET                        ,10026,20,0,20,37305,15802,2012,2, RR ,3410000,2012-02-08,15.0422228493
5986,HARLEM-CENTRAL,11A CONDO-RENTALS,2,1600,1103,RR, 23 WEST 116 STREET                        ,10026,85,0,85,37305,134891,2012,2, RR ,1260000,2012-02-08,14.0466222789
6263,HARLEM-CENTRAL,14  RENTALS - 4-10 UNIT,2A,1721,35,S9, 260 LENOX AVENUE                          ,10027,3,2,5,1756,5896,1910,2, S9 ,71277,2013-04-19,11.1743289737
6264,HARLEM-CENTRAL,14  RENTALS - 4-10 UNIT,2A,1723,37,S9, 2032 FIFTH AVENUE                         ,10035,4,2,6,1700,4774,1909,2, S9 ,1620000,2013-06-18,14.2979367072
6265,HARLEM-CENTRAL,14  RENTALS - 4-10 UNIT,2A,1829,25,S4, 223 WEST 113 STREET                       ,10026,4,1,5,1682,3131,1910,2, S4 ,1650000,2013-07-25,14.3162858459
6266,HARLEM-CENTRAL,14  RENTALS - 4-10 UNIT,2A,1829,25,S4, 223 WEST 113TH STREET                     ,10026,4,1,5,1682,3131,1910,2, S4 ,675000,2012-10-19,13.4224679699
6267,HARLEM-CENTRAL,14  RENTALS - 4-10 UNIT,2A,1908,114,S5, 139 WEST 123RD STREET                     ,10027,5,1,6,2018,3120,1910,2, S5 ,1300000,2012-12-20,14.0778748224
6268,HARLEM-CENTRAL,14  RENTALS - 4-10 UNIT,2,1911,16,C7, 139 WEST 126 STREET                       ,10027,12,1,13,3664,6632,1910,2, S4 ,1900000,2012-09-20,14.4573644441
6270,HARLEM-CENTRAL,14  RENTALS - 4-10 UNIT,2A,1917,32,S3, 451 LENOX AVENUE                          ,10037,3,1,4,1233,2646,1910,2, S3 ,872000,2013-06-19,13.6785447029
6271,HARLEM-CENTRAL,14  RENTALS - 4-10 UNIT,2A,1920,64,S9, 2311 ADAM CLAYTON POWELL                  ,10030,2,2,4,1275,3332,1920,2, S9 ,1267500,2013-06-14,14.0525570144
6272,HARLEM-CENTRAL,14  RENTALS - 4-10 UNIT,2A,1920,102,S3, 2305 ADAM C POWELL BLVD                   ,10030,3,1,4,1350,3600,1920,2, S3 ,1100000,2012-12-31,13.9108207378
6274,HARLEM-CENTRAL,14  RENTALS - 4-10 UNIT,2A,1921,30,S4, 523 LENOX AVENUE                          ,10037,4,1,5,1875,7215,1910,2, S4 ,356387,2013-04-19,12.783772498
6275,HARLEM-CENTRAL,14  RENTALS - 4-10 UNIT,2A,1950,130,S3, 303 WEST 123RD ST                         ,10027,3,1,4,861,2760,1900,2, S3 ,1050000,2012-01-08,13.8643007221
6276,HARLEM-CENTRAL,14  RENTALS - 4-10 UNIT,2B,2024,64,S9, 272 WEST 139 STREET                       ,10030,6,4,10,4147,13828,1920,2, S9 ,2750000,2013-06-18,14.8271114696
6277,HARLEM-CENTRAL,14  RENTALS - 4-10 UNIT,2A,2024,134,S4," 2374 ADAM CLAYTON POWELL,                 ",10030,4,1,5,1243,4640,1910,2, S4 ,900000,2012-12-21,13.7101500423
6361,HARLEM-CENTRAL,21  OFFICE BUILDINGS,4,1920,2,O9, 2303 ADAM C POWELL BLVD                   ,10030,0,1,1,1463,4400,1910,4, O9 ,1150000,2012-12-28,13.9552725003
6363,HARLEM-CENTRAL,22  STORE BUILDINGS,4,1736,26,K2, 31 WEST 138TH STREET                      ,10037,0,1,1,2498,4696,1920,4, K2 ,725000,2013-01-18,13.4939269338
6365,HARLEM-CENTRAL,22  STORE BUILDINGS,4,1772,37,K9, 2272 3 AVENUE                             ,10035,0,1,1,1280,2400,1900,4, K9 ,1100000,2012-12-18,13.9108207378
6366,HARLEM-CENTRAL,22  STORE BUILDINGS,4,1821,31,K1, 21-41 LENOX AVENUE                        ,10026,0,7,7,14675,14467,1994,4, K1 ,2500000,2012-06-08,14.7318012898
6367,HARLEM-CENTRAL,22  STORE BUILDINGS,4,1911,1,K1, 2121 ADAM C POWELL BLVD                   ,10027,0,8,8,3364,3364,1910,4, K1 ,2200000,2013-06-25,14.6039679183
6368,HARLEM-CENTRAL,22  STORE BUILDINGS,4,1921,31,K9, 525 LENOX AVENUE                          ,10037,0,1,1,1244,5845,1910,4, K9 ,280018,2013-04-19,12.5426091658
6369,HARLEM-CENTRAL,22  STORE BUILDINGS,4,1930,49,K1, 246 WEST 125 STREET                       ,10027,0,2,2,5046,6545,1972,4, K1 ,10273444,2012-10-15,16.1450728714
6371,HARLEM-CENTRAL,23  LOFT BUILDINGS,4,1750,23,L8, 57 EAST 125 STREET                        ,10035,0,1,1,1857,3716,1915,4, L8 ,3600000,2013-04-25,15.0964444034
6372,HARLEM-CENTRAL,26  OTHER HOTELS,4,1912,37,H9, 102 WEST 128 STREET                       ,10027,27,0,27,3797,11391,1910,4, H9 ,3300000,2012-10-19,15.0094330264
6381,HARLEM-CENTRAL,29  COMMERCIAL GARAGES,4,1767,27,G9, 159 EAST 118 STREET                       ,10035,0,1,1,2523,2475,1954,4, G9 ,925000,2013-07-01,13.7375490165
6385,HARLEM-CENTRAL,29  COMMERCIAL GARAGES,4,1944,43,G1, 316-320 WEST 118TH STREET                 ,10026,0,3,3,6055,22340,1924,4, G1 ,4500000,2012-07-08,15.3195879547
6387,HARLEM-CENTRAL,29  COMMERCIAL GARAGES,4,2047,44,G9, 250 BRADHURST AVENUE                      ,10039,0,2,2,14450,27106,1930,4, G9 ,5200000,2012-11-12,15.4641691836
6420,HARLEM-CENTRAL,32  HOSPITAL AND HEALTH FACILITIES,4,1902,43,I9, 120 WEST 118 STREET                       ,10026,0,1,1,2000,3885,1910,4, I9 ,1600000,2013-04-01,14.2855141872
6422,HARLEM-CENTRAL,32  HOSPITAL AND HEALTH FACILITIES,4,1902,43,I9, 120 WEST 118 STREET                       ,10026,0,1,1,2000,3885,1910,4, I9 ,1150000,2013-04-01,13.9552725003
6423,HARLEM-CENTRAL,33  EDUCATIONAL FACILITIES,4,1912,6,W9, 159 WEST 127TH STREET                     ,10027,0,1,1,4955,15000,1910,4, W9 ,3500000,2012-12-18,15.0682735265
6425,HARLEM-CENTRAL,37  RELIGIOUS FACILITIES,4,1726,35,M9, 2084 FIFTH AVENUE                         ,10035,0,1,1,1500,5000,1910,4, M9 ,1955295,2013-07-22,14.4860516352
6426,HARLEM-CENTRAL,37  RELIGIOUS FACILITIES,4,1820,6,M1, 145 CENTRAL PARK NORTH                    ,10026,0,1,1,7092,9168,1970,4, M1 ,11375000,2013-06-18,16.2469285228
6427,HARLEM-CENTRAL,37  RELIGIOUS FACILITIES,4,1904,41,M9, 112 WEST 120 STREET                       ,10027,0,1,1,2018,3608,1910,4, M9 ,999995,2013-07-16,13.815505558
6429,HARLEM-CENTRAL,37  RELIGIOUS FACILITIES,4,1923,14,M2, 253 WEST 117TH STREET                     ,10026,0,1,1,17661,45020,1910,4, M2 ,1000000,2012-05-10,13.815510558
6430,HARLEM-CENTRAL,37  RELIGIOUS FACILITIES,4,1923,52,M3, 262 WEST 118TH STREET                     ,10026,0,1,1,2523,5808,1910,4, M3 ,5000000,2012-05-10,15.4249484704
6431,HARLEM-CENTRAL,37  RELIGIOUS FACILITIES,4,2041,129,M9, 68 EDGECOMBE AVENUE                       ,10030,0,1,1,1360,3480,1910,4, M9 ,1050000,2013-06-25,13.8643007221
6433,HARLEM-CENTRAL,37  RELIGIOUS FACILITIES,4,2050,163,M1, 72 HAMILTON TERRACE                       ,10031,0,1,1,1600,4124,1920,4, M1 ,1125000,2013-06-27,13.9332935936
6454,HARLEM-EAST,01  ONE FAMILY HOMES,1,1628,65,A5, 122 EAST 101 STREET                       ,10029,1,0,1,1716,2730,1890,1, A5 ,775000,2013-06-08,13.5606183083
6456,HARLEM-EAST,01  ONE FAMILY HOMES,1,1660,20,S1, 251 EAST 110 STREET                       ,10029,1,1,2,1682,3920,1900,1, S1 ,1740000,2012-09-08,14.3693956712
6457,HARLEM-EAST,01  ONE FAMILY HOMES,1,1688,14,A4, 331 EAST 116TH STREET                     ,10029,1,0,1,1682,3200,1899,1, A4 ,915000,2012-12-21,13.7266793443
6458,HARLEM-EAST,01  ONE FAMILY HOMES,1,1807,39,A9, 420 EAST 120 STREET                       ,10035,1,0,1,1892,2736,1899,1, A9 ,905000,2013-02-04,13.7156902227
6459,HARLEM-EAST,02  TWO FAMILY HOMES,1,1666,120,B1, 249 EAST 116TH STREET                     ,10029,2,0,2,1618,4000,1890,1, B1 ,1050000,2013-03-05,13.8643007221
6460,HARLEM-EAST,02  TWO FAMILY HOMES,1,1709,22,B1, 285 PLEASANT AVENUE                       ,10029,2,0,2,1110,3000,1890,1, B1 ,800000,2013-03-04,13.5923670067
6463,HARLEM-EAST,02  TWO FAMILY HOMES,1,1784,23,S2, 2327 2ND AVENUE                           ,10035,2,1,3,1600,2926,1901,1, S2 ,500000,2013-06-25,13.1223633774
6465,HARLEM-EAST,03  THREE FAMILY HOMES,1,1645,125,C0, 159 EAST 117TH STREET                     ,10035,3,0,3,1682,3500,1890,1, C0 ,1208257,2013-05-23,14.0046893832
6466,HARLEM-EAST,03  THREE FAMILY HOMES,1,1659,29,C0, 246 EAST 110TH STREET                     ,10029,3,0,3,3398,4554,1996,1, C0 ,1250000,2013-01-17,14.0386541093
